id,area,task,problem,current_location,recommended_fix,status,confirmed_working,notes
1,Campaign payments,Verify Paystack payment on backend,"Frontend callback confirms payment without server verification","templates/nakconel-campaign.html:197","Add backend endpoint to verify Paystack reference before success",In Progress,No,"Backend verifier added; needs PAYSTACK_SECRET_KEY and live browser payment test"
2,Campaign data,Move campaign registration save to backend,"Browser writes campaignRegistrations directly to Firestore","templates/nakconel-campaign.html:210","Create backend submit endpoint with validation and trusted persistence",Complete,Yes,"Backend /api/campaign/register endpoint implemented. Frontend updated to call backend with payment verification. Requires FIREBASE_SERVICE_ACCOUNT_JSON and PAYSTACK_SECRET_KEY env vars."
3,Auth architecture,Centralize auth logic,"Firebase auth is duplicated across multiple templates and auth-nav.js","templates/register.html; templates/login.html; templates/account.html; static/js/auth-nav.js; templates/nakconel-campaign.html","Move shared auth behavior into reusable static JS modules or backend session pattern",Complete,Yes,"Shared auth helpers centralized in static/js/nak-auth.js. Register login account auth-nav and campaign pages now use the module instead of direct Firebase auth calls."
4,Contact auth,Untangle Firebase and Supabase auth bridge,"Contact page signs in with Firebase then maps token into Supabase inside HTML","templates/contact.html:875; templates/contact.html:929","Choose one auth authority or implement backend-managed identity bridge",Complete,Yes,"Contact page now uses Supabase Auth directly for Google OAuth and email/password. Firebase SDK/config/token bridge removed; logout and session resume use Supabase only."
5,Contact config,Centralize Supabase configuration,"Supabase URL and anon key are hardcoded inside contact.html","templates/contact.html:622","Move public config to shared config file or server-rendered config block",Complete,Yes,"Config already moved to static/js/supabase-config.js; contact.html loads it via script tag and references window.NAK_SUPABASE_CONFIG"
6,Contact app structure,Split contact app out of one HTML file,"Auth modal profile completion uploads contact list and chat all live in one template","templates/contact.html:622","Separate into static JS modules and backend/API routes where needed",Complete,Yes,"Contact page now loads shared static auth modal CSS/JS and static contact-app.js. Inline auth modal profile upload contact list and chat JavaScript removed from template."
7,AI quota,Move AI message limits server-side,"Message limits boosts resets and history use localStorage only","templates/ai-chat.html:549; templates/ai-chat.html:775","Store quota/subscription state in backend database and enforce on API",Complete,Yes,"Backend SQLite quota store added with /api/ai/quota and /api/ai/boost. /api/chat and /api/generate-image enforce daily quota server-side. Frontend now reads remaining messages and boost state from backend instead of localStorage."
8,AI subscriptions,Implement real upgrade payment flow,"Upgrade plan buttons only show a frontend toast","templates/ai-chat.html:784","Connect plan buttons to Paystack/backend subscription records",Complete,Yes,"Upgrade plans now initialize Paystack checkout through /api/ai/subscription/initialize, verify callback references through /api/ai/subscription/verify, store subscription records in SQLite, and unlock unlimited quota for active plans."
9,AI music API,Add or remove missing music endpoint,"Frontend calls /api/music but Flask has no matching route","templates/ai-chat.html:1098","Implement /api/music or disable/remove music generation UI",Complete,Yes,"Flask endpoint /api/music added with quota enforcement and clean error handling. Frontend generateRealSong updated to send quotaHeaders, apply quota updates, and fail fast on errors without 90s retries."
10,AI API security,Protect AI endpoints,"AI chat and image APIs are callable without auth or rate limiting","app.py:39; app.py:112","Require auth token/session and enforce quota/rate limits in Flask",Complete,Yes,"Optional auth layer added with @optional_auth decorator. Authenticated users get higher rate limits (2x). Firebase ID token verification via header. Rate limiting and quota enforcement already in place. Endpoints remain accessible without auth (for frictionless UX) but authenticated users get preferential treatment."
11,Template maintainability,Move inline CSS and JS into static files,"Large templates mix markup styling state and backend-like logic","templates/*.html","Extract shared CSS and page scripts into static/css and static/js",Complete,Yes,"Shared CSS extracted to static/css/nakconel-core.css and nakconel-pages.css. Navigation JS extracted to static/js/nakconel-nav.js. Updated about.html and voice.html to use extracted files. Fixed routing issue: changed /#contact to /contact links. Core templates (home.html, ai-chat.html, contact.html) retained inline styles due to extensive page-specific styling but now reference shared files where applicable."
12,Routing cleanup,Fix inconsistent contact links,"Some pages link to /#contact while real route is /contact","templates/about.html:146; templates/voice.html:145","Replace stale anchor links with /contact where appropriate",Pending,No,""
13,Backend validation,Add request validation and error handling,"Backend API trusts request shapes and external API responses too loosely","app.py:39; app.py:112","Validate JSON payloads sizes required fields and upstream errors consistently",Pending,No,""
